date,value
2007-08-12,4217
2007-08-13,4218
2007-08-20,4219
2007-08-23,4220
2007-08-24,4226
2007-08-27,4251
2007-08-28,4253
2007-09-01,4266
2007-09-03,4271
2007-09-05,4273
2007-09-10,4275
2007-09-11,4276
2007-09-16,4277
2007-09-17,4279
2007-09-23,4282
2007-09-30,4283
2007-10-01,4292
2007-10-02,4293
2007-10-15,4295
2007-10-16,4298
2007-10-22,4299
2007-10-24,4300
2007-10-29,4305
2007-11-01,4316
2007-11-02,4318
2007-11-05,4319
2007-11-06,4320
2007-11-07,4321
2007-11-09,4322
2007-11-13,4323
2007-11-19,4325
2007-11-30,4327
2007-12-01,4355
2007-12-03,4356
2007-12-04,4357
2007-12-06,4358
2007-12-12,4359
2007-12-13,4365
2007-12-15,4366
2007-12-17,4367
2007-12-18,4369
2007-12-20,4371
2007-12-26,4372
2007-12-30,4373
2008-01-01,4564
2008-01-07,4565
2008-01-08,4566
2008-01-10,4568
2008-01-15,4570
2008-01-30,4571
2008-02-01,4572
2008-02-06,4573
2008-02-08,4574
2008-02-11,4576
2008-02-12,4577
2008-02-13,4578
2008-02-15,4579
2008-02-17,4582
2008-03-01,4590
2008-03-03,4591
2008-03-12,4592
2008-03-14,4593
2008-03-16,4594
2008-03-26,4598
2008-03-30,4608
2008-03-31,4609
2008-04-01,4614
2008-04-08,4615
2008-04-14,4616
2008-04-18,4617
2008-04-20,4618
2008-04-21,4619
2008-05-01,4636
2008-05-09,4637
2008-05-12,4666
2008-05-13,4669
2008-05-17,4670
2008-05-20,4672
2008-05-25,4673
2008-05-27,4675
2008-05-28,4677
2008-05-31,4678
2008-06-01,4695
2008-06-07,4696
2008-06-09,4697
2008-06-11,4698
2008-06-16,4705
2008-06-18,4708
2008-06-19,4713
2008-06-20,4714
2008-06-23,4716
2008-06-25,4719
2008-06-27,4720
2008-06-29,4721
2008-06-30,4722
2008-07-01,4725
2008-07-02,4726
2008-07-06,4727
2008-07-07,4730
2008-07-09,4732
2008-07-10,4733
2008-07-11,4734
2008-07-12,4736
2008-07-13,4740
2008-07-19,4741
2008-07-20,4748
2008-07-22,4749
2008-07-23,4750
2008-07-24,4753
2008-08-01,4757
2008-08-07,4759
2008-08-14,4761
2008-08-16,4762
2008-08-18,4766
2008-08-19,4767
2008-08-22,4769
2008-08-25,4770
2008-09-01,4778
2008-09-02,4779
2008-09-05,4780
2008-09-08,4789
2008-09-11,4791
2008-09-16,4792
2008-09-17,4797
2008-09-18,4798
2008-09-22,4819
2008-09-26,4820
2008-10-01,4830
2008-10-07,4831
2008-10-09,4832
2008-10-13,4833
2008-10-14,4835
2008-10-15,4836
2008-10-17,4837
2008-10-18,4839
2008-10-21,4842
2008-10-25,4849
2008-10-26,4854
2008-10-30,4855
2008-10-31,4860
2008-11-01,4871
2008-11-03,4872
2008-11-06,4874
2008-11-08,4875
2008-11-10,4876
2008-11-11,4877
2008-11-21,4879
2008-12-01,4900
2008-12-02,4901
2008-12-03,4902
2008-12-04,4904
2008-12-08,4911
2008-12-09,4913
2008-12-15,4914
2008-12-18,4915
2008-12-21,4916
2008-12-23,4917
2008-12-30,4929
2008-12-31,4931
2009-01-01,5126
2009-01-20,5127
2009-01-26,5128
2009-02-01,5135
2009-02-06,5136
2009-02-12,5137
2009-02-17,5139
2009-02-18,5140
2009-02-24,5141
2009-02-27,5142
2009-03-01,5152
2009-03-09,5153
2009-03-16,5155
2009-03-27,5157
2009-03-30,5164
2009-03-31,5168
2009-04-01,5171
2009-04-02,5173
2009-04-03,5174
2009-04-09,5176
2009-04-15,5177
2009-04-18,5182
2009-04-19,5205
2009-04-20,5208
2009-04-24,5209
2009-04-28,5210
2009-04-30,5211
2009-05-01,5218
2009-05-10,5219
2009-05-12,5220
2009-05-14,5222
2009-05-15,5223
2009-05-17,5224
2009-05-19,5228
2009-05-31,5237
2009-06-01,5241
